_ID,EMPID,PROJECTNAME,MAJORSKILL,STATUS
661832ed3a055b1dbdd85106,EMP9,Online Medical Consultation App,Data Analysis,Rejected
661832ed3a055b1dbdd85107,EMP9,Emergency Response Management App,Data Analysis,Ongoing
661832ed3a055b1dbdd85108,EMP9,Augmented Reality Shopping Experience,Azure,Ongoing
661832ed3a055b1dbdd85109,EMP10,Wildlife Conservation Monitoring System,Swift,Rejected
661832ed3a055b1dbdd8510a,EMP10,Real Estate Property Finder App,Documentation,Rejected
661832ed3a055b1dbdd8510b,EMP10,Personal Finance Tracker App,Ruby,Rejected
661832ed3a055b1dbdd8510c,EMP11,Language Translation Service,Technical Writing,Ongoing
661832ed3a055b1dbdd8510d,EMP11,AI-driven Customer Service Chatbot,Technical Writing,Ongoing
661832ed3a055b1dbdd8510e,EMP11,Food Delivery Optimization Algorithm,Data Visualization,Accepted
661832ed3a055b1dbdd8510f,EMP12,E-commerce Platform Redesign,MongoDB,Accepted
661832ed3a055b1dbdd85110,EMP12,AI-driven Customer Service Chatbot,RESTful API,Accepted
661832ed3a055b1dbdd85111,EMP12,Virtual Reality Training Simulation,MongoDB,Ongoing
661832ed3a055b1dbdd85112,EMP12,Climate Change Prediction Model,RESTful API,Accepted
661832ed3a055b1dbdd85113,EMP13,Augmented Reality Shopping Experience,Microservices,Rejected
661832ed3a055b1dbdd85114,EMP13,AI-driven Customer Service Chatbot,Node.js,Accepted
661832ed3a055b1dbdd85115,EMP13,Remote Team Collaboration Platform,Microservices,Ongoing
661832ed3a055b1dbdd85116,EMP14,Cybersecurity Incident Response Tool,SQL,Rejected
661832ed3a055b1dbdd85117,EMP14,Online Medical Consultation App,Kubernetes,Accepted
661832ed3a055b1dbdd85118,EMP14,Emergency Response Management App,Python,Accepted
661832ed3a055b1dbdd85119,EMP14,Smart Home Automation System,SQL,Ongoing
661832ed3a055b1dbdd8511a,EMP15,Online Learning Management System,Python,Ongoing
661832ed3a055b1dbdd8511b,EMP15,Urban Traffic Management Solution,Python,Rejected
661832ed3a055b1dbdd8511c,EMP15,Smart City Waste Management System,Google Cloud Platform,Ongoing
661832ed3a055b1dbdd8511d,EMP16,Language Translation Service,Requirements Analysis,Rejected
661832ed3a055b1dbdd8511e,EMP16,Urban Traffic Management Solution,CSS,Rejected
661832ed3a055b1dbdd8511f,EMP16,Remote Team Collaboration Platform,CSS,Rejected
661832ed3a055b1dbdd85120,EMP17,Language Translation Service,RESTful API,Accepted
661832ed3a055b1dbdd85121,EMP17,Emergency Response Management App,RESTful API,Ongoing
661832ed3a055b1dbdd85122,EMP17,Agricultural Crop Monitoring System,Scrum,Accepted
661832ed3a055b1dbdd85123,EMP17,Personal Finance Tracker App,Kotlin,Accepted
661832ed3a055b1dbdd85124,EMP18,Healthcare Data Analytics Platform,Data Visualization,Accepted
661832ed3a055b1dbdd85125,EMP18,Wildlife Conservation Monitoring System,Support,Rejected
661832ed3a055b1dbdd85126,EMP18,Language Translation Service,Data Visualization,Rejected
661832ed3a055b1dbdd85127,EMP18,Online Medical Consultation App,Support,Accepted
661832ed3a055b1dbdd85128,EMP19,Language Translation Service,PHP,Rejected
661832ed3a055b1dbdd85129,EMP19,Personalized News Aggregator,Support,Accepted
661832ed3a055b1dbdd8512a,EMP19,Agricultural Crop Monitoring System,Communication,Accepted
661832ed3a055b1dbdd8512b,EMP20,Online Event Ticketing Platform,Technical Writing,Ongoing
661832ed3a055b1dbdd8512c,EMP20,AI-driven Customer Service Chatbot,PHP,Accepted
661832ed3a055b1dbdd8512d,EMP20,Autonomous Drone Delivery Service,Wireframing,Accepted
661832ed3a055b1dbdd8512e,EMP21,Agricultural Crop Monitoring System,Microservices,Accepted
661832ed3a055b1dbdd8512f,EMP21,Blockchain-based Supply Chain Management,Support,Ongoing
661832ed3a055b1dbdd85130,EMP22,AI-driven Customer Service Chatbot,Java,Rejected
661832ed3a055b1dbdd85131,EMP22,Smart Parking Management System,Java,Rejected
661832ed3a055b1dbdd85132,EMP22,Cybersecurity Incident Response Tool,Prototyping,Rejected
661832ed3a055b1dbdd85133,EMP22,Real Estate Property Finder App,Java,Ongoing
661832ed3a055b1dbdd85134,EMP23,IoT-based Smart Agriculture Solution,Node.js,Ongoing
661832ed3a055b1dbdd85135,EMP23,Personalized News Aggregator,User Research,Rejected
661832ed3a055b1dbdd85136,EMP24,Wildlife Conservation Monitoring System,Django,Accepted
661832ed3a055b1dbdd85137,EMP24,Online Medical Consultation App,Continuous Deployment,Rejected
661832ed3a055b1dbdd85138,EMP24,Food Delivery Optimization Algorithm,Django,Rejected
661832ed3a055b1dbdd85139,EMP25,AI-powered Virtual Assistant,Test-Driven Development,Accepted
661832ed3a055b1dbdd8513a,EMP25,Language Translation Service,Test-Driven Development,Rejected
661832ed3a055b1dbdd8513b,EMP25,Renewable Energy Management System,NoSQL,Rejected
661832ed3a055b1dbdd8513c,EMP25,Healthcare Data Analytics Platform,Leadership,Ongoing
661832ed3a055b1dbdd8513d,EMP26,Food Delivery Optimization Algorithm,Continuous Deployment,Rejected
661832ed3a055b1dbdd8513e,EMP26,Smart City Waste Management System,NoSQL,Ongoing
661832ed3a055b1dbdd8513f,EMP26,Climate Change Prediction Model,NoSQL,Ongoing
661832ed3a055b1dbdd85140,EMP26,Online Medical Consultation App,Java,Ongoing
661832ed3a055b1dbdd85141,EMP27,Fitness and Nutrition Tracking App,Kubernetes,Ongoing
661832ed3a055b1dbdd85142,EMP27,Climate Change Prediction Model,Penetration Testing,Rejected
661832ed3a055b1dbdd85143,EMP27,Healthcare Data Analytics Platform,Kubernetes,Accepted
661832ed3a055b1dbdd85144,EMP27,Smart Home Automation System,Cybersecurity,Accepted
661832ed3a055b1dbdd85145,EMP28,Smart Home Automation System,Requirements Analysis,Ongoing
661832ed3a055b1dbdd85146,EMP28,Online Event Ticketing Platform,Requirements Analysis,Accepted
661832ed3a055b1dbdd85147,EMP29,Online Learning Management System,Responsive Design,Ongoing
661832ed3a055b1dbdd85148,EMP29,Renewable Energy Management System,Kotlin,Ongoing
661832ed3a055b1dbdd85149,EMP29,Food Delivery Optimization Algorithm,Ruby,Ongoing
661832ed3a055b1dbdd8514a,EMP29,Virtual Reality Training Simulation,Kotlin,Accepted
661832ed3a055b1dbdd8514b,EMP30,Renewable Energy Management System,Troubleshooting,Accepted
661832ed3a055b1dbdd8514c,EMP30,Emergency Response Management App,Troubleshooting,Rejected
661832ed3a055b1dbdd8514d,EMP30,Personal Finance Tracker App,Swift,Accepted
661832ed3a055b1dbdd8514e,EMP31,Emergency Response Management App,Statistical Analysis,Accepted
661832ed3a055b1dbdd8514f,EMP31,Online Learning Management System,Objective-C,Accepted
661832ed3a055b1dbdd85150,EMP32,Fitness and Nutrition Tracking App,React,Ongoing
661832ed3a055b1dbdd85151,EMP32,AI-driven Customer Service Chatbot,CSS,Rejected
661832ed3a055b1dbdd85152,EMP32,Wildlife Conservation Monitoring System,Support,Rejected
661832ed3a055b1dbdd85153,EMP32,Autonomous Drone Delivery Service,Support,Ongoing
661832ed3a055b1dbdd85154,EMP33,AI-powered Virtual Assistant,Cryptography,Approved
661832ed3a055b1dbdd85155,EMP33,AI-driven Customer Service Chatbot,NoSQL,Ongoing
661832ed3a055b1dbdd85156,EMP34,Climate Change Prediction Model,Agile Methodologies,Accepted
661832ed3a055b1dbdd85157,EMP34,AI-powered Virtual Assistant,Docker,Ongoing
661832ed3a055b1dbdd85158,EMP34,Online Learning Management System,Docker,Ongoing
661832ed3a055b1dbdd85159,EMP34,Virtual Reality Training Simulation,Docker,Ongoing
661832ed3a055b1dbdd8515a,EMP35,Personalized News Aggregator,SQL,Ongoing
661832ed3a055b1dbdd8515b,EMP35,Online Learning Management System,Java,Ongoing
661832ed3a055b1dbdd8515c,EMP35,Climate Change Prediction Model,SQL,Accepted
661832ed3a055b1dbdd8515d,EMP36,Real Estate Property Finder App,Technical Writing,Accepted
661832ed3a055b1dbdd8515e,EMP36,Blockchain-based Supply Chain Management,React,Ongoing
661832ed3a055b1dbdd8515f,EMP37,Blockchain-based Supply Chain Management,Swift,Rejected
661832ed3a055b1dbdd85160,EMP37,Personal Finance Tracker App,C#,Ongoing
661832ed3a055b1dbdd85161,EMP37,Language Translation Service,Swift,Ongoing
661832ed3a055b1dbdd85162,EMP38,Fitness and Nutrition Tracking App,Django,Ongoing
661832ed3a055b1dbdd85163,EMP38,Smart Parking Management System,Django,Rejected
661832ed3a055b1dbdd85164,EMP38,IoT-based Smart Agriculture Solution,Collaboration,Rejected
661832ed3a055b1dbdd85165,EMP39,Healthcare Data Analytics Platform,Behavior-Driven Development,Accepted
661832ed3a055b1dbdd85166,EMP39,Mental Health Chatbot,HTML,Rejected
661832ed3a055b1dbdd85167,EMP39,Remote Team Collaboration Platform,Behavior-Driven Development,Accepted
661832ed3a055b1dbdd85168,EMP40,Smart City Waste Management System,Python,Ongoing
661832ed3a055b1dbdd85169,EMP40,Emergency Response Management App,Collaboration,Rejected
661832ed3a055b1dbdd8516a,EMP41,Blockchain-based Supply Chain Management,CI/CD,Ongoing
661832ed3a055b1dbdd8516b,EMP41,Personal Finance Tracker App,Test-Driven Development,Rejected
661832ed3a055b1dbdd8516c,EMP42,Emergency Response Management App,Business Analysis,Ongoing
661832ed3a055b1dbdd8516d,EMP42,Real Estate Property Finder App,Cybersecurity,Ongoing
661832ed3a055b1dbdd8516e,EMP42,Smart Parking Management System,Continuous Deployment,Rejected
661832ed3a055b1dbdd85173,EMP42,Mental Health Chatbot,Cybersecurity,Ongoing
661832ed3a055b1dbdd85174,EMP43,Smart City Waste Management System,AWS,Ongoing
661832ed3a055b1dbdd85175,EMP43,Food Delivery Optimization Algorithm,Penetration Testing,Accepted
661832ed3a055b1dbdd85176,EMP43,Renewable Energy Management System,Penetration Testing,Accepted
661832ed3a055b1dbdd85177,EMP44,Smart City Waste Management System,AWS,Ongoing
661832ed3a055b1dbdd85178,EMP44,E-commerce Platform Redesign,Kubernetes,Accepted
661832ed3a055b1dbdd85179,EMP45,Online Event Ticketing Platform,Communication,Ongoing
661832ed3a055b1dbdd8517a,EMP45,Personalized News Aggregator,Troubleshooting,Ongoing
661832ed3a055b1dbdd8517b,EMP46,Real Estate Property Finder App,Kubernetes,Rejected
661832ed3a055b1dbdd8517c,EMP46,Emergency Response Management App,Data Analysis,Ongoing
661832ed3a055b1dbdd8517d,EMP46,Agricultural Crop Monitoring System,Kubernetes,Accepted
661832ed3a055b1dbdd8517e,EMP47,Urban Traffic Management Solution,Cryptography,Ongoing
661832ed3a055b1dbdd8517f,EMP47,Personal Finance Tracker App,Vue.js,Ongoing
661832ed3a055b1dbdd85180,EMP47,Food Delivery Optimization Algorithm,Cryptography,Rejected
661832ed3a055b1dbdd85181,EMP47,Blockchain-based Supply Chain Management,UI/UX Design,Rejected
661832ed3a055b1dbdd85182,EMP48,Online Medical Consultation App,Docker,Rejected
661832ed3a055b1dbdd85183,EMP48,Real Estate Property Finder App,Agile Methodologies,Rejected
661832ed3a055b1dbdd85184,EMP48,Blockchain-based Supply Chain Management,Accessibility,Accepted
661832ed3a055b1dbdd85185,EMP48,Augmented Reality Shopping Experience,Git,Accepted
661832ed3a055b1dbdd85186,EMP49,Fitness and Nutrition Tracking App,Network Security,Rejected
661832ed3a055b1dbdd85187,EMP49,Online Learning Management System,Network Security,Ongoing
661832ed3a055b1dbdd85188,EMP49,Personal Finance Tracker App,Network Security,Rejected
661832ed3a055b1dbdd85189,EMP49,Online Medical Consultation App,Network Security,Rejected
661832ed3a055b1dbdd8518a,EMP50,Agricultural Crop Monitoring System,Responsive Design,Accepted
661832ed3a055b1dbdd8518b,EMP50,Remote Team Collaboration Platform,Cybersecurity,Rejected
661832ed3a055b1dbdd8518c,EMP50,Smart Parking Management System,Cybersecurity,Rejected
661832ed3a055b1dbdd8518d,EMP50,AI-driven Customer Service Chatbot,Scrum,Accepted
661832ed3a055b1dbdd8518e,EMP51,Renewable Energy Management System,PHP,Accepted
661832ed3a055b1dbdd8518f,EMP51,Online Learning Management System,UI/UX Design,Accepted
661832ed3a055b1dbdd85190,EMP51,Real Estate Property Finder App,Swift,Ongoing
661832ed3a055b1dbdd85191,EMP51,Mental Health Chatbot,UI/UX Design,Accepted
661832ed3a055b1dbdd85192,EMP52,Renewable Energy Management System,Communication,Rejected
661832ed3a055b1dbdd85193,EMP52,Climate Change Prediction Model,Behavior-Driven Development,Ongoing
661832ed3a055b1dbdd85194,EMP53,Online Event Ticketing Platform,Scrum,Rejected
661832ed3a055b1dbdd85195,EMP53,Blockchain-based Supply Chain Management,Penetration Testing,Accepted
661832ed3a055b1dbdd85196,EMP53,Wildlife Conservation Monitoring System,Requirements Analysis,Ongoing
661832ed3a055b1dbdd85197,EMP54,Mental Health Chatbot,Containerization,Accepted
661832ed3a055b1dbdd85198,EMP54,E-commerce Platform Redesign,Google Cloud Platform,Accepted
661832ed3a055b1dbdd85199,EMP54,Autonomous Drone Delivery Service,Scrum,Ongoing
661832ed3a055b1dbdd8519a,EMP54,Blockchain-based Supply Chain Management,Scrum,Rejected
661832ed3a055b1dbdd8519b,EMP55,Smart Parking Management System,Data Science,Ongoing
661832ed3a055b1dbdd8519c,EMP55,Fitness and Nutrition Tracking App,Data Science,Ongoing
661832ed3a055b1dbdd8519d,EMP55,Remote Team Collaboration Platform,Agile Product Management,Ongoing
661832ed3a055b1dbdd8519e,EMP55,Smart City Waste Management System,Data Science,Ongoing
661832ed3a055b1dbdd8519f,EMP56,Emergency Response Management App,Azure,Accepted
661832ed3a055b1dbdd851a0,EMP56,Cybersecurity Incident Response Tool,Azure,Accepted
661832ed3a055b1dbdd851a1,EMP56,AI-driven Customer Service Chatbot,Test-Driven Development,Rejected
661832ed3a055b1dbdd851a2,EMP57,Online Learning Management System,Machine Learning,Accepted
661832ed3a055b1dbdd851a3,EMP57,Urban Traffic Management Solution,Data Science,Rejected
661832ed3a055b1dbdd851a4,EMP58,AI-powered Virtual Assistant,Interaction Design,Accepted
661832ed3a055b1dbdd851a5,EMP58,Personal Finance Tracker App,Statistical Analysis,Rejected
661832ed3a055b1dbdd851a6,EMP59,Smart Parking Management System,JavaScript,Rejected
661832ed3a055b1dbdd851a7,EMP59,Fitness and Nutrition Tracking App,Business Analysis,Rejected
661832ed3a055b1dbdd851a8,EMP60,Smart Home Automation System,Accessibility,Accepted
661832ed3a055b1dbdd851a9,EMP60,Wildlife Conservation Monitoring System,AWS,Accepted
661832ed3a055b1dbdd851aa,EMP61,Wildlife Conservation Monitoring System,Docker,Ongoing
661832ed3a055b1dbdd851ab,EMP61,Remote Team Collaboration Platform,Vue.js,Rejected
661832ed3a055b1dbdd851ac,EMP61,Smart Home Automation System,DevOps,Accepted
661832ed3a055b1dbdd851ad,EMP61,Online Medical Consultation App,Docker,Rejected
661832ed3a055b1dbdd851ae,EMP62,AI-driven Customer Service Chatbot,Django,Ongoing
661832ed3a055b1dbdd851af,EMP62,Climate Change Prediction Model,Containerization,Accepted
661832ed3a055b1dbdd851b0,EMP63,Climate Change Prediction Model,Ruby,Ongoing
661832ed3a055b1dbdd851b1,EMP63,Renewable Energy Management System,Product Management,Ongoing
661832ed3a055b1dbdd851b2,EMP64,E-commerce Platform Redesign,Cryptography,Rejected
661832ed3a055b1dbdd851b5,EMP64,Food Delivery Optimization Algorithm,Cryptography,Accepted
661832ed3a055b1dbdd851b6,EMP65,Language Translation Service,NoSQL,Rejected
661832ed3a055b1dbdd851b7,EMP65,Emergency Response Management App,Vue.js,Ongoing
661832ed3a055b1dbdd851b8,EMP66,Online Event Ticketing Platform,Test-Driven Development,Accepted
661832ed3a055b1dbdd851b9,EMP66,Virtual Reality Training Simulation,User Research,Rejected
661832ed3a055b1dbdd851ba,EMP66,Language Translation Service,Responsive Design,Ongoing
661832ed3a055b1dbdd851bb,EMP67,Autonomous Drone Delivery Service,Requirements Analysis,Accepted
661832ed3a055b1dbdd851bc,EMP67,Smart Home Automation System,Requirements Analysis,Rejected
661832ed3a055b1dbdd851bd,EMP68,Agricultural Crop Monitoring System,Product Management,Accepted
661832ed3a055b1dbdd851be,EMP68,Augmented Reality Shopping Experience,Google Cloud Platform,Ongoing
661832ed3a055b1dbdd851bf,EMP69,AI-powered Virtual Assistant,Troubleshooting,Accepted
661832ed3a055b1dbdd851c0,EMP69,Autonomous Drone Delivery Service,Troubleshooting,Ongoing
661832ed3a055b1dbdd851c1,EMP69,Language Translation Service,Docker,Rejected
661832ed3a055b1dbdd851c2,EMP70,Renewable Energy Management System,Ruby,Accepted
661832ed3a055b1dbdd851c3,EMP70,Autonomous Drone Delivery Service,Ruby,Ongoing
661832ed3a055b1dbdd851c4,EMP70,Smart Home Automation System,Kotlin,Ongoing
661832ed3a055b1dbdd851c5,EMP70,Online Medical Consultation App,Containerization,Ongoing
661832ed3a055b1dbdd851c6,EMP71,Remote Team Collaboration Platform,Wireframing,Ongoing
661832ed3a055b1dbdd851c7,EMP71,Virtual Reality Training Simulation,Artificial Intelligence,Accepted
661832ed3a055b1dbdd851c8,EMP71,Smart City Waste Management System,Wireframing,Rejected
661832ed3a055b1dbdd851c9,EMP72,Personal Finance Tracker App,Information Security,Rejected
661832ed3a055b1dbdd851ca,EMP72,Mental Health Chatbot,User Stories,Ongoing
661832ed3a055b1dbdd851cb,EMP72,Augmented Reality Shopping Experience,PHP,Rejected
661832ed3a055b1dbdd851cc,EMP73,Blockchain-based Supply Chain Management,GraphQL,Ongoing
661832ed3a055b1dbdd851cd,EMP73,Emergency Response Management App,Data Science,Ongoing
661832ed3a055b1dbdd851ce,EMP74,Personal Finance Tracker App,Business Analysis,Accepted
661832ed3a055b1dbdd851cf,EMP74,Emergency Response Management App,C#,Accepted
661832ed3a055b1dbdd851d0,EMP74,Virtual Reality Training Simulation,C#,Accepted
661832ed3a055b1dbdd851d1,EMP74,Smart Parking Management System,Business Analysis,Rejected
661832ed3a055b1dbdd851d2,EMP75,Blockchain-based Supply Chain Management,UI/UX Design,Rejected
661832ed3a055b1dbdd851d3,EMP75,Personalized News Aggregator,C#,Accepted
661832ed3a055b1dbdd851d4,EMP76,Autonomous Drone Delivery Service,Data Visualization,Accepted
661832ed3a055b1dbdd851d5,EMP76,Personalized News Aggregator,Problem Solving,Accepted
661832ed3a055b1dbdd851d6,EMP76,Cybersecurity Incident Response Tool,Data Visualization,Rejected
661832ed3a055b1dbdd851d8,EMP76,Wildlife Conservation Monitoring System,Requirements Analysis,Rejected
661832ed3a055b1dbdd851d9,EMP77,Mental Health Chatbot,Kotlin,Rejected
661832ed3a055b1dbdd851da,EMP77,Online Medical Consultation App,Kotlin,Accepted
661832ed3a055b1dbdd851db,EMP77,Urban Traffic Management Solution,Kotlin,Accepted
661832ed3a055b1dbdd851dc,EMP78,Smart Parking Management System,MongoDB,Rejected
661832ed3a055b1dbdd851dd,EMP78,Blockchain-based Supply Chain Management,AWS,Accepted
661832ed3a055b1dbdd851de,EMP79,Mental Health Chatbot,RESTful API,Rejected
661832ed3a055b1dbdd851df,EMP79,Climate Change Prediction Model,Cybersecurity,Ongoing
661832ed3a055b1dbdd851e0,EMP79,Renewable Energy Management System,RESTful API,Accepted
661832ed3a055b1dbdd851e1,EMP80,Smart Parking Management System,Troubleshooting,Accepted
661832ed3a055b1dbdd851e2,EMP80,Virtual Reality Training Simulation,Troubleshooting,Rejected
661832ed3a055b1dbdd851e3,EMP80,Mental Health Chatbot,Problem Solving,Accepted
661832ed3a055b1dbdd851e4,EMP81,Healthcare Data Analytics Platform,Test-Driven Development,Accepted
661832ed3a055b1dbdd851e5,EMP81,Mental Health Chatbot,Test-Driven Development,Ongoing
661832ed3a055b1dbdd851e6,EMP82,AI-powered Virtual Assistant,Wireframing,Ongoing
661832ed3a055b1dbdd851e7,EMP82,Fitness and Nutrition Tracking App,Problem Solving,Rejected
661832ed3a055b1dbdd851e8,EMP82,E-commerce Platform Redesign,Problem Solving,Accepted
661832ed3a055b1dbdd851e9,EMP83,Renewable Energy Management System,Java,Ongoing
661832ed3a055b1dbdd851ea,EMP83,IoT-based Smart Agriculture Solution,Java,Ongoing
661832ed3a055b1dbdd851eb,EMP84,Augmented Reality Shopping Experience,Django,Ongoing
661832ed3a055b1dbdd851ec,EMP84,AI-powered Virtual Assistant,Cybersecurity,Rejected
661832ed3a055b1dbdd851ed,EMP85,AI-powered Virtual Assistant,Support,Accepted
661832ed3a055b1dbdd851ee,EMP85,Language Translation Service,HTML,Ongoing
661832ed3a055b1dbdd851ef,EMP86,Healthcare Data Analytics Platform,Cryptography,Accepted
661832ed3a055b1dbdd851f0,EMP86,Smart Parking Management System,Cryptography,Accepted
661832ed3a055b1dbdd851f1,EMP86,Cybersecurity Incident Response Tool,JavaScript,Ongoing
661832ed3a055b1dbdd851f2,EMP86,Fitness and Nutrition Tracking App,Cryptography,Ongoing
661832ed3a055b1dbdd851f3,EMP87,Healthcare Data Analytics Platform,Information Security,Rejected
661832ed3a055b1dbdd851f4,EMP87,E-commerce Platform Redesign,Technical Writing,Accepted
661832ed3a055b1dbdd851f5,EMP87,Cybersecurity Incident Response Tool,React,Accepted
661832ed3a055b1dbdd851f6,EMP87,Agricultural Crop Monitoring System,React,Accepted
661832ed3a055b1dbdd851f7,EMP88,Renewable Energy Management System,Communication,Rejected
661832ed3a055b1dbdd851f8,EMP88,Remote Team Collaboration Platform,Communication,Ongoing
661832ed3a055b1dbdd851f9,EMP89,Virtual Reality Training Simulation,Problem Solving,Rejected
661832ed3a055b1dbdd851fa,EMP89,Augmented Reality Shopping Experience,Accessibility,Accepted
661832ed3a055b1dbdd851fb,EMP89,AI-powered Virtual Assistant,Objective-C,Rejected
661832ed3a055b1dbdd851fc,EMP89,Cybersecurity Incident Response Tool,Problem Solving,Rejected
661832ed3a055b1dbdd851fd,EMP90,AI-driven Customer Service Chatbot,Agile Product Management,Accepted
661832ed3a055b1dbdd851fe,EMP90,Autonomous Drone Delivery Service,Interaction Design,Rejected
661832ed3a055b1dbdd851ff,EMP90,Fitness and Nutrition Tracking App,Interaction Design,Accepted
661832ed3a055b1dbdd85200,EMP91,Personalized News Aggregator,Java,Accepted
661832ed3a055b1dbdd85201,EMP91,Language Translation Service,Data Visualization,Ongoing
661832ed3a055b1dbdd85202,EMP92,Renewable Energy Management System,MySQL,Rejected
661832ed3a055b1dbdd85203,EMP92,Personal Finance Tracker App,Objective-C,Rejected
661832ed3a055b1dbdd85204,EMP93,Augmented Reality Shopping Experience,Problem Solving,Ongoing
661832ed3a055b1dbdd85205,EMP93,Food Delivery Optimization Algorithm,Problem Solving,Accepted
661832ed3a055b1dbdd85206,EMP94,Real Estate Property Finder App,Cybersecurity,Accepted
661832ed3a055b1dbdd85207,EMP94,AI-powered Virtual Assistant,Scrum,Rejected
661832ed3a055b1dbdd85208,EMP94,Personal Finance Tracker App,UI/UX Design,Accepted
661832ed3a055b1dbdd85209,EMP95,Agricultural Crop Monitoring System,Swift,Rejected
661832ed3a055b1dbdd8520a,EMP95,Healthcare Data Analytics Platform,Support,Ongoing
661832ed3a055b1dbdd8520b,EMP96,Fitness and Nutrition Tracking App,NoSQL,Ongoing
661832ed3a055b1dbdd8520c,EMP96,Emergency Response Management App,Cryptography,Rejected
661832ed3a055b1dbdd8520d,EMP96,Personal Finance Tracker App,Cryptography,Accepted
661832ed3a055b1dbdd8520e,EMP96,Virtual Reality Training Simulation,NoSQL,Rejected
661832ed3a055b1dbdd8520f,EMP97,AI-powered Virtual Assistant,Communication,Accepted
661832ed3a055b1dbdd85210,EMP97,AI-driven Customer Service Chatbot,Ruby,Accepted
661832ed3a055b1dbdd85211,EMP97,Blockchain-based Supply Chain Management,Ruby,Ongoing
661832ed3a055b1dbdd85212,EMP98,Virtual Reality Training Simulation,Accessibility,Rejected
661832ed3a055b1dbdd85213,EMP98,Emergency Response Management App,Troubleshooting,Ongoing
661832ed3a055b1dbdd85214,EMP98,Augmented Reality Shopping Experience,Troubleshooting,Accepted
661832ed3a055b1dbdd85215,EMP98,Real Estate Property Finder App,UI/UX Design,Rejected
661832ed3a055b1dbdd85216,EMP99,Augmented Reality Shopping Experience,Django,Accepted
661832ed3a055b1dbdd85217,EMP99,Urban Traffic Management Solution,Python,Rejected
661832ed3a055b1dbdd85218,EMP99,Online Medical Consultation App,Google Cloud Platform,Ongoing
661832ed3a055b1dbdd85219,EMP100,AI-powered Virtual Assistant,Flask,Accepted
661832ed3a055b1dbdd8521a,EMP100,Language Translation Service,Collaboration,Ongoing
661832ed3a055b1dbdd8521b,EMP101,Online Learning Management System,Network Security,Accepted
661832ed3a055b1dbdd8521c,EMP101,Mental Health Chatbot,Network Security,Ongoing
661832ed3a055b1dbdd8521d,EMP102,Food Delivery Optimization Algorithm,Business Analysis,Rejected
661832ed3a055b1dbdd8521e,EMP102,Urban Traffic Management Solution,Microservices,Accepted
661832ed3a055b1dbdd8521f,EMP102,Augmented Reality Shopping Experience,Microservices,Accepted
661832ed3a055b1dbdd85220,EMP102,Wildlife Conservation Monitoring System,Business Analysis,Rejected
661832ed3a055b1dbdd85221,EMP103,E-commerce Platform Redesign,Google Cloud Platform,Rejected
661832ed3a055b1dbdd85222,EMP103,Urban Traffic Management Solution,Penetration Testing,Ongoing
661832ed3a055b1dbdd85223,EMP103,Mental Health Chatbot,Django,Rejected
661832ed3a055b1dbdd85224,EMP103,Online Medical Consultation App,Google Cloud Platform,Accepted
661832ed3a055b1dbdd85225,EMP104,Agricultural Crop Monitoring System,Business Analysis,Rejected
661832ed3a055b1dbdd85226,EMP104,Urban Traffic Management Solution,Continuous Integration,Rejected
